cik,cmpy,CompanyName,year,total_downloads,htm_downloads,txt_downloads,xbrl_downloads,other_downloads,unique_filings_accessed
1750,AAR,AAR Corp.,2003,1210,708,433,61,8,141
1750,AAR,AAR Corp.,2004,2392,1496,641,245,10,194
1750,AAR,AAR Corp.,2005,1005,690,230,80,5,137
1750,AAR,AAR Corp.,2006,1382,941,332,103,6,165
1750,AAR,AAR Corp.,2007,2390,1516,447,412,15,261
1750,AAR,AAR Corp.,2008,3341,2426,625,270,20,273
1750,AAR,AAR Corp.,2009,4497,3037,889,517,54,664
1750,AAR,AAR Corp.,2010,6002,4313,794,711,184,377
1750,AAR,AAR Corp.,2011,6288,4580,581,942,185,391
1750,AAR,AAR Corp.,2012,8928,6429,1051,1245,203,458
1750,AAR,AAR Corp.,2013,9629,6863,1314,1258,194,571
1750,AAR,AAR Corp.,2014,11056,8033,1664,1036,323,670
1750,AAR,AAR Corp.,2015,11859,9355,1445,802,257,547
1800,ABBOTTLAB,Abbott Laboratories,2003,8363,5132,2897,148,186,218
1800,ABBOTTLAB,Abbott Laboratories,2004,16438,12213,3054,969,202,324
1800,ABBOTTLAB,Abbott Laboratories,2005,7386,5531,1109,674,72,364
1800,ABBOTTLAB,Abbott Laboratories,2006,7418,5310,1216,814,78,387
1800,ABBOTTLAB,Abbott Laboratories,2007,13928,8797,1815,3156,160,604
1800,ABBOTTLAB,Abbott Laboratories,2008,15148,10426,1977,2510,235,678
1800,ABBOTTLAB,Abbott Laboratories,2009,27278,20969,2203,3901,205,790
1800,ABBOTTLAB,Abbott Laboratories,2010,37292,25615,2215,9026,436,810
1800,ABBOTTLAB,Abbott Laboratories,2011,39212,29168,1849,7426,769,794
1800,ABBOTTLAB,Abbott Laboratories,2012,37402,28416,2386,5720,880,910
1800,ABBOTTLAB,Abbott Laboratories,2013,39510,31506,3373,3731,900,957
1800,ABBOTTLAB,Abbott Laboratories,2014,40606,33152,3882,2820,752,968
1800,ABBOTTLAB,Abbott Laboratories,2015,38172,31238,3583,2715,636,910
2178,,,2003,351,5,346,0,0,36
2178,,,2004,539,24,504,11,0,52
2178,,,2005,307,172,120,15,0,51
2178,,,2006,264,179,73,12,0,50
2178,,,2007,420,345,59,16,0,52
2178,,,2008,693,551,124,17,1,89
2178,,,2009,928,824,82,5,17,68
2178,,,2010,1086,980,101,1,4,73
2178,,,2011,1446,1290,119,11,26,111
2178,,,2012,1574,1379,127,45,23,96
2178,,,2013,2977,2182,557,146,92,175
2178,,,2014,3464,2743,523,94,104,200
2178,,,2015,3497,2873,363,180,81,167
2969,AIRPRODCHEM,"Air Products and Chemicals, Inc.",2003,1820,111,1633,57,19,144
2969,AIRPRODCHEM,"Air Products and Chemicals, Inc.",2004,3298,278,2849,126,45,222
